date,net,cash,holdings,cost_basis,starting_cash,margin,mtm,realized,pnls,liquid_value,commissions,charges,day_pnl,gross_leverage,net_leverage,gross_exposure,net_exposure,long_exposure,short_exposure,longs_count,shorts_count,algo_returns,algo_cum_returns,algo_volatility,drawdown,sharpe,strategy_vol,benchmark,benchmark_returns,alpha,beta
2022-04-19 00:00:00+05:30,10867.7300,832.1300,10035.6000,8462.2500,10000.0000,0.0000,1573.3500,-705.6100,867.7300,10867.7300,0.0000,0.0000,-398.4000,0.9200,0.9200,10035.6000,10035.6000,10035.6000,0.0000,1,0,-0.0354,0.0868,0.3260,-0.0540,0.0111,0.3413,9565.3900,-0.0184,0.00017518537951602154,0.17203012989770686
2022-04-20 00:00:00+05:30,10888.1300,832.1300,10056.0000,8462.2500,10000.0000,0.0000,1593.7500,-705.6100,888.1300,10888.1300,0.0000,0.0000,20.4000,0.9200,0.9200,10056.0000,10056.0000,10056.0000,0.0000,1,0,0.0019,0.0888,0.3238,-0.0522,0.0948,0.3412,9724.5589,0.0166,0.000179560458278621,0.1693316305469421
2022-04-21 00:00:00+05:30,10883.6300,832.1300,10051.5000,8462.2500,10000.0000,0.0000,1589.2500,-705.6100,883.6300,10883.6300,0.0000,0.0000,-4.5000,0.9200,0.9200,10051.5000,10051.5000,10051.5000,0.0000,1,0,-0.0004,0.0884,0.3216,-0.0526,0.0813,0.3412,9866.6032,0.0146,0.00018404923656073502,0.1634369708977657
2022-04-22 00:00:00+05:30,10923.8300,832.1300,10091.7000,8462.2500,10000.0000,0.0000,1629.4500,-705.6100,923.8300,10923.8300,0.0000,0.0000,40.2000,0.9200,0.9200,10091.7000,10091.7000,10091.7000,0.0000,1,0,0.0037,0.0924,0.3195,-0.0491,0.0320,0.3409,9735.8431,-0.0133,0.0002430852020132859,0.1591849589078781
2022-04-25 00:00:00+05:30,10621.1300,832.1300,9789.0000,8462.2500,10000.0000,0.0000,1326.7500,-705.6100,621.1300,10621.1300,0.0000,0.0000,-302.7000,0.9200,0.9200,9789.0000,9789.0000,9789.0000,0.0000,1,0,-0.0277,0.0621,0.3214,-0.0754,-0.8171,0.3351,9630.2030,-0.0109,-0.000315380367168618,0.1840680543452574
2022-04-26 00:00:00+05:30,10695.5300,832.1300,9863.4000,8462.2500,10000.0000,0.0000,1401.1500,-705.6100,695.5300,10695.5300,0.0000,0.0000,74.4000,0.9200,0.9200,9863.4000,9863.4000,9863.4000,0.0000,1,0,0.0070,0.0696,0.3196,-0.0690,-0.1996,0.3240,9753.9601,0.0129,-0.0010108955892264764,0.30164138211362224
2022-04-27 00:00:00+05:30,10660.1300,832.1300,9828.0000,8462.2500,10000.0000,0.0000,1365.7500,-705.6100,660.1300,10660.1300,0.0000,0.0000,-35.4000,0.9200,0.9200,9828.0000,9828.0000,9828.0000,0.0000,1,0,-0.0033,0.0660,0.3176,-0.0720,-0.5439,0.3205,9661.0785,-0.0095,-0.0002677941678116708,0.3337178808850977
2022-04-28 00:00:00+05:30,10600.1300,832.1300,9768.0000,8462.2500,10000.0000,0.0000,1305.7500,-705.6100,600.1300,10600.1300,0.0000,0.0000,-60.0000,0.9200,0.9200,9768.0000,9768.0000,9768.0000,0.0000,1,0,-0.0056,0.0600,0.3157,-0.0773,-0.5921,0.3206,9770.9147,0.0114,-0.0008340438349872353,0.3397153521363844
2022-04-29 00:00:00+05:30,10389.8300,832.1300,9557.7000,8462.2500,10000.0000,0.0000,1095.4500,-705.6100,389.8300,10389.8300,0.0000,0.0000,-210.3000,0.9200,0.9200,9557.7000,9557.7000,9557.7000,0.0000,1,0,-0.0198,0.0390,0.3157,-0.0956,-1.0446,0.3213,9703.0113,-0.0069,-0.0011037381545948156,0.34891950143114775
2022-05-02 00:00:00+05:30,10282.1300,832.1300,9450.0000,8462.2500,10000.0000,0.0000,987.7500,-705.6100,282.1300,10282.1300,0.0000,0.0000,-107.7000,0.9200,0.9200,9450.0000,9450.0000,9450.0000,0.0000,1,0,-0.0104,0.0282,0.3143,-0.1049,-1.0994,0.3217,9676.4170,-0.0027,-0.0014269365960478354,0.338269776202191
2022-05-04 00:00:00+05:30,10336.1300,832.1300,9504.0000,8462.2500,10000.0000,0.0000,1041.7500,-705.6100,336.1300,10336.1300,0.0000,0.0000,54.0000,0.9200,0.9200,9504.0000,9504.0000,9504.0000,0.0000,1,0,0.0053,0.0336,0.3125,-0.1002,-0.9463,0.3218,9466.6111,-0.0217,-0.0010427592381305533,0.3276405063024294
2022-05-05 00:00:00+05:30,10401.2300,832.1300,9569.1000,8462.2500,10000.0000,0.0000,1106.8500,-705.6100,401.2300,10401.2300,0.0000,0.0000,65.1000,0.9200,0.9200,9569.1000,9569.1000,9569.1000,0.0000,1,0,0.0063,0.0401,0.3108,-0.0946,-0.7685,0.3219,9452.1515,-0.0015,-0.0007618042203060684,0.3354352335216855
